0;4882;6;6;1989;1988
1;863;24;6;1987;1989
2;5768;37;3;1980;1983
3;6209;35;2;1983;1980
4;2675;9;3;1983;1986
5;417;29;3;1980;1982
6;8078;49;4;1989;1982
7;1045;29;7;1981;1981
8;8901;47;1;1984;1988
9;9318;2;6;1982;1989
10;7855;15;0;1982;1984
11;1137;48;5;1988;1984
12;3791;39;7;1982;1989
13;6576;44;2;1984;1982
14;9077;21;2;1981;1981
15;4488;36;8;1981;1980
16;7389;39;9;1980;1988
17;8157;16;3;1980;1989
18;6050;16;8;1980;1989
19;5104;6;0;1984;1985
20;4955;48;2;1986;1983
21;4852;48;8;1988;1980
22;2097;3;3;1989;1989
23;1205;1;6;1984;1989
24;740;14;7;1984;1981
25;3857;24;3;1983;1981
26;8644;21;1;1989;1980
27;9178;29;2;1982;1987
28;7769;15;1;1985;1988
29;3242;47;9;1981;1980
30;7049;9;1;1988;1981
31;5517;50;4;1983;1984
32;8891;21;5;1989;1981
33;8405;32;2;1980;1986
34;5790;40;0;1989;1989
35;2773;19;5;1984;1984
36;9782;50;1;1986;1982
37;9816;18;3;1982;1981
38;8756;27;0;1985;1987
39;4657;3;1;1984;1986
40;7869;42;3;1981;1989
41;1845;6;3;1984;1984
42;6248;15;9;1980;1988
43;9847;0;3;1980;1987
44;2185;13;1;1988;1984
45;3328;31;5;1984;1986
46;9058;50;4;1980;1980
47;3818;9;4;1982;1984
48;8037;36;4;1982;1984
49;1657;15;7;1983;1986
50;7508;45;4;1981;1981
51;3025;12;9;1988;1987
52;7079;10;0;1982;1988
53;3628;39;6;1982;1982
54;1674;48;2;1981;1989
55;6164;7;4;1980;1984
56;7870;38;2;1980;1982
57;8057;30;5;1986;1987
58;6193;3;1;1980;1989
59;2880;7;4;1980;1983
60;4315;38;8;1984;1980
61;7252;9;7;1988;1984
62;3003;30;9;1989;1988
63;1307;32;3;1983;1987
64;9515;13;1;1981;1987
65;6826;10;6;1984;1986
66;8165;18;0;1987;1988
67;2094;47;9;1988;1989
68;483;9;4;1984;1981
69;6021;32;1;1985;1980
70;4511;25;0;1981;1987
71;8210;15;8;1981;1981
72;4955;1;5;1989;1980
73;3769;41;4;1982;1983
74;245;7;0;1989;1988
75;6723;40;6;1985;1989
76;5062;32;9;1987;1984
77;9003;0;0;1985;1985
78;4890;8;0;1989;1980
79;998;4;0;1981;1985
80;4038;19;7;1981;1984
81;7403;39;4;1981;1988
82;7962;4;5;1986;1986
83;9301;8;2;1982;1985
84;1285;11;3;1985;1988
85;705;14;6;1981;1989
86;2626;4;5;1983;1988
87;8659;28;0;1984;1989
88;8181;1;2;1983;1988
89;8976;26;3;1987;1982
90;6242;16;2;1984;1981
91;1003;44;1;1986;1988
92;1750;21;9;1988;1985
93;825;32;0;1988;1986
94;2163;15;1;1986;1984
95;2101;23;1;1989;1984
96;6028;21;9;1982;1989
97;1426;46;1;1985;1984
98;2460;15;0;1985;1983
99;2594;32;9;1987;1988
